freq_Hz,harman_inroom_dB,bbc_inroom_dB,harman_target_dB,bbc_target_dB,harman_postdsp_dB,bbc_postdsp_dB
201.93,1.1664,0.7327,0.6893,0.5036,0.7456,0.5617
202.63,1.1678,0.7370,0.6855,0.5008,0.7398,0.5567
203.35,1.1686,0.7408,0.6816,0.4980,0.7332,0.5510
204.06,1.1688,0.7440,0.6778,0.4952,0.7258,0.5444
204.78,1.1685,0.7466,0.6739,0.4924,0.7183,0.5377
205.49,1.1676,0.7486,0.6701,0.4896,0.7108,0.5310
206.22,1.1661,0.7500,0.6664,0.4868,0.7035,0.5245
206.94,1.1641,0.7509,0.6626,0.4841,0.6963,0.5181
207.67,1.1614,0.7512,0.6588,0.4813,0.6891,0.5118
208.39,1.1583,0.7509,0.6551,0.4786,0.6821,0.5056
209.13,1.1545,0.7501,0.6514,0.4758,0.6752,0.4996
209.86,1.1502,0.7487,0.6477,0.4731,0.6685,0.4936
210.60,1.1454,0.7467,0.6440,0.4703,0.6618,0.4878
211.33,1.1399,0.7442,0.6403,0.4676,0.6553,0.4822
