freq_Hz,mk2_on_axis,mk2_LW,mk2_ER,mk2_SP,mk2_DI,mk2_PIR,mk3_on_axis,mk3_LW,mk3_ER,mk3_SP,mk3_DI,mk3_PIR
960.269,0.0000,-0.1134,-0.7182,-0.5671,0.5671,-0.2743,0.0000,-0.0977,-0.6163,-0.4878,0.4878,-0.2370
969.172,0.0000,-0.1144,-0.7247,-0.5722,0.5722,-0.2767,0.0000,-0.0983,-0.6196,-0.4904,0.4904,-0.2383
978.157,0.0000,-0.1155,-0.7312,-0.5773,0.5773,-0.2791,0.0000,-0.0988,-0.6227,-0.4928,0.4928,-0.2394
987.226,0.0000,-0.1165,-0.7375,-0.5822,0.5822,-0.2813,0.0000,-0.0993,-0.6257,-0.4951,0.4951,-0.2405
996.380,0.0000,-0.1175,-0.7436,-0.5870,0.5870,-0.2836,0.0000,-0.0998,-0.6284,-0.4973,0.4973,-0.2415
1005.617,0.0000,-0.1185,-0.7496,-0.5917,0.5917,-0.2858,0.0000,-0.1002,-0.6310,-0.4993,0.4993,-0.2425
1014.941,0.0000,-0.1194,-0.7555,-0.5963,0.5963,-0.2879,0.0000,-0.1007,-0.6334,-0.5012,0.5012,-0.2434
1024.351,0.0000,-0.1204,-0.7612,-0.6007,0.6007,-0.2900,0.0000,-0.1011,-0.6356,-0.5030,0.5030,-0.2442
1033.848,0.0000,-0.1213,-0.7667,-0.6050,0.6050,-0.2920,0.0000,-0.1014,-0.6377,-0.5046,0.5046,-0.2450
1043.434,0.0000,-0.1221,-0.7720,-0.6092,0.6092,-0.2939,0.0000,-0.1018,-0.6395,-0.5060,0.5060,-0.2457
1053.108,0.0000,-0.1230,-0.7772,-0.6132,0.6132,-0.2958,0.0000,-0.1021,-0.6411,-0.5074,0.5074,-0.2463
1062.872,0.0000,-0.1238,-0.7821,-0.6171,0.6171,-0.2976,0.0000,-0.1024,-0.6426,-0.5085,0.5085,-0.2468
1072.726,0.0000,-0.1246,-0.7868,-0.6208,0.6208,-0.2993,0.0000,-0.1026,-0.6438,-0.5095,0.5095,-0.2473
1082.672,0.0000,-0.1254,-0.7914,-0.6243,0.6243,-0.3009,0.0000,-0.1028,-0.6449,-0.5104,0.5104,-0.2477
1092.710,0.0000,-0.1261,-0.7957,-0.6277,0.6277,-0.3025,0.0000,-0.1030,-0.6458,-0.5111,0.5111,-0.2480
1102.841,0.0000,-0.1268,-0.7998,-0.6309,0.6309,-0.3040,0.0000,-0.1033,-0.6467,-0.5119,0.5119,-0.2484
1113.066,0.0000,-0.1275,-0.8037,-0.6340,0.6340,-0.3054,0.0000,-0.1043,-0.6522,-0.5166,0.5166,-0.2506
1123.386,0.0000,-0.1281,-0.8073,-0.6368,0.6368,-0.3067,0.0000,-0.1064,-0.6641,-0.5272,0.5272,-0.2556
1133.801,0.0000,-0.1288,-0.8107,-0.6395,0.6395,-0.3080,0.0000,-0.1098,-0.6829,-0.5438,0.5438,-0.2634
1144.314,0.0000,-0.1293,-0.8139,-0.6420,0.6420,-0.3091,0.0000,-0.1144,-0.7091,-0.5669,0.5669,-0.2742
1154.923,0.0000,-0.1299,-0.8168,-0.6443,0.6443,-0.3102,0.0000,-0.1204,-0.7430,-0.5968,0.5968,-0.2882
1165.631,0.0000,-0.1304,-0.8195,-0.6464,0.6464,-0.3112,0.0000,-0.1279,-0.7853,-0.6341,0.6341,-0.3055
1176.438,0.0000,-0.1308,-0.8220,-0.6484,0.6484,-0.3121,0.0000,-0.1368,-0.8364,-0.6790,0.6790,-0.3262
